Position;step;solution;Set;raw;diff;logdiff;abwpro;logabwpro;diffsq;logdiffsq
Polishing tunnel (Water);Singeing;DS0200;S7;0.23175;0.16605;0.234645036;0.417420814;-0.379425899;0.027572603;0.055058293
Polishing tunnel (Whips);Singeing;DS0200;S7;0.015625;0.00445;0.108835528;0.221668742;-0.654295543;1.98E-05;0.011845172
Splitting saw;Singeing;DS0200;S7;0.01375;0.006775;0.294758486;0.971326165;-0.012634912;4.59E-05;0.086882565
Sticking;Singeing;DS0200;S7;0.005375;0.0029;0.187389534;0.350453172;-0.455370005;0.00000841;0.035114837
Truck (Gloves);Singeing;DS0200;S7;0.058875;0.00265;0.020001456;0.047132059;-1.32668359;7.02E-06;0.000400058
Truck (Wall);Singeing;DS0200;S7;0.00675;0.00265;0.216519916;0.646341463;-0.189537983;7.02E-06;0.046880874
Unknown;Singeing;DS0200;S7;0.518125;0.168125;0.170366504;0.480357143;-0.318435747;0.028266016;0.029024746
Anal Swab;Polishing;DS0200;S7;0.003625;0.00105;0.148530778;0.40776699;-0.389587934;1.10E-06;0.022061392
Classification (Gloves);Polishing;DS0200;S7;0.044;0.0189;0.243778955;0.752988048;-0.123211917;0.00035721;0.059428179
Classification (Railing);Polishing;DS0200;S7;0.110375;0.112025;0.304264066;0.503709532;-0.29781983;0.012549601;0.092576622
Cooling chamber (Wall_A);Polishing;DS0200;S7;0.002;0.001825;1.057991947;10.42857143;1.01822482;3.33E-06;1.11934696
Evisceration (Aprons);Polishing;DS0200;S7;0.011625;0.005825;0.301964968;1.004310345;0.001867936;3.39E-05;0.091182842
Evisceration (Gloves);Polishing;DS0200;S7;0.014125;0.00525;0.201820095;0.591549296;-0.228009058;2.76E-05;0.040731351
Evisceration (Knifes);Polishing;DS0200;S7;0.007;0.0042;0.397940009;1.5;0.176091259;0.00001764;0.158356251
Lock (Hands_A);Polishing;DS0200;S7;0.00425;0.003175;0.596980466;2.953488372;0.470335265;1.01E-05;0.356385677
Lock (Shoes_A);Polishing;DS0200;S7;0.00475;0.000675;0.066565997;0.165644172;-0.78082384;4.56E-07;0.004431032
Polishing tunnel (Nozzles);Polishing;DS0200;S7;0.024375;0.004925;0.079922996;0.168088737;-0.774461386;2.43E-05;0.006387685
Polishing tunnel (Water);Polishing;DS0200;S7;0.134;0.066175;0.174305039;0.330585737;-0.480715887;0.004379131;0.030382247
Polishing tunnel (Whips);Polishing;DS0200;S7;0.103125;0.057775;0.193192083;0.359073959;-0.44481609;0.003337951;0.037323181
Splitting saw;Polishing;DS0200;S7;0.018125;0.010375;0.368976313;1.338709677;0.126686403;0.000107641;0.136143519
Sticking;Polishing;DS0200;S7;0.005375;0.00095;0.070682061;0.150197628;-0.823336925;9.03E-07;0.004995954
Truck (Gloves);Polishing;DS0200;S7;0.121875;0.007075;0.025972741;0.06162892;-1.210215444;5.01E-05;0.000674583
Truck (Wall);Polishing;DS0200;S7;0.001375;0.000625;0.263241435;0.833333333;-0.079181246;3.91E-07;0.069296053
Unknown;Polishing;DS0200;S7;0.39;0.182875;0.274832086;0.882920941;-0.054078182;0.033443266;0.075532675
Anal Swab;Evisceration;DS0200;S7;0.0025;0.000775;0.161150909;0.449275362;-0.347487397;6.01E-07;0.025969616
Classification (Gloves);Evisceration;DS0200;S7;0.035625;0.00505;0.066388407;0.165167621;-0.782075088;2.55E-05;0.004407421
Classification (Railing);Evisceration;DS0200;S7;0.110375;0.1196;0.318809911;0.520056528;-0.283949448;0.01430416;0.101639759
Cooling chamber (Wall_A);Evisceration;DS0200;S7;0.00175;0.0013;0.589825535;2.888888889;0.460730839;0.00000169;0.347894162
Evisceration (Aprons);Evisceration;DS0200;S7;0.013625;0.00585;0.243636113;0.752411576;-0.123544532;3.42E-05;0.059358556
Evisceration (Gloves);Evisceration;DS0200;S7;0.00975;0.000875;0.040836254;0.098591549;-1.006160309;7.66E-07;0.0016676
Evisceration (Knifes);Evisceration;DS0200;S7;0.0065;0.002425;0.202785744;0.595092025;-0.22541587;5.88E-06;0.041122058
Lock (Hands_A);Evisceration;DS0200;S7;0.004625;0.002675;0.375077126;1.371794872;0.137289175;7.16E-06;0.14068285
Lock (Shoes_A);Evisceration;DS0200;S7;0.004375;0.000175;0.017728767;0.041666667;-1.380211242;3.06E-08;0.000314309
Polishing tunnel (Nozzles);Evisceration;DS0200;S7;0.024;0.00355;0.069517929;0.173594132;-0.760464959;1.26E-05;0.004832743
Polishing tunnel (Water);Evisceration;DS0200;S7;0.07325;0.0358;0.172818041;0.328289775;-0.483742643;0.00128164;0.029866075
Polishing tunnel (Whips);Evisceration;DS0200;S7;0.103;0.061075;0.202205188;0.372238306;-0.429178937;0.003730156;0.040886938
Splitting saw;Evisceration;DS0200;S7;0.018625;0.010375;0.353642333;1.257575758;0.099534157;0.000107641;0.1250629
Sticking;Evisceration;DS0200;S7;0.002375;0.0017;0.234463999;0.417177914;-0.379678692;0.00000289;0.054973367
Truck (Gloves);Evisceration;DS0200;S7;0.1535;0.01475;0.039846693;0.087667162;-1.057163053;0.000217563;0.001587759
Truck (Wall);Evisceration;DS0200;S7;0.00225;0.00025;0.051152522;0.125;-0.903089987;6.25E-08;0.002616581
Unknown;Evisceration;DS0200;S7;0.433875;0.199625;0.267685027;0.852187834;-0.06946467;0.039850141;0.071655274
Anal Swab;Classification;DS0200;S7;0.00025;0.00065;0.556302501;0.722222222;-0.141329153;4.23E-07;0.309472472
Classification (Gloves);Classification;DS0200;S7;0.0385;0.000975;0.010861409;0.024699177;-1.607317523;9.51E-07;0.00011797
Classification (Railing);Classification;DS0200;S7;0.120625;0.1105;0.282409598;0.478096268;-0.320484646;0.01221025;0.079755181
Cooling chamber (Wall_A);Classification;DS0200;S7;0.00075;0.0003;0.22184875;0.666666667;-0.176091259;0.00000009;0.049216868
Evisceration (Aprons);Classification;DS0200;S7;0.013;0.007725;0.391720888;1.464454976;0.165676024;5.97E-05;0.153445254
Evisceration (Gloves);Classification;DS0200;S7;0.013625;0.0054;0.144988154;0.283837057;-0.546930906;0.00002916;0.021021565
Evisceration (Knifes);Classification;DS0200;S7;0.007125;0.004025;0.361423175;1.298387097;0.113404191;1.62E-05;0.130626711
Lock (Hands_A);Classification;DS0200;S7;0.002;0.0002;0.045757491;0.111111111;-0.954242509;0.00000004;0.002093748
Lock (Shoes_A);Classification;DS0200;S7;0.008625;0.003075;0.191466121;0.554054054;-0.256447863;9.46E-06;0.036659275
Polishing tunnel (Nozzles);Classification;DS0200;S7;0.024625;0.0067;0.10451484;0.213886672;-0.669816277;0.00004489;0.010923352
Polishing tunnel (Water);Classification;DS0200;S7;0.084125;0.04235;0.177079611;0.334848784;-0.475151273;0.001793523;0.031357189
Polishing tunnel (Whips);Classification;DS0200;S7;0.081625;0.044675;0.189580156;0.353721298;-0.451338789;0.001995856;0.035940636
Splitting saw;Classification;DS0200;S7;0.0235;0.016425;0.521341418;2.32155477;0.365778934;0.000269781;0.271796874
Sticking;Classification;DS0200;S7;0.002125;0.0036;0.430416557;0.628820961;-0.20147299;0.00001296;0.185258412
Truck (Gloves);Classification;DS0200;S7;0.17725;0.008725;0.020868324;0.046914908;-1.328689132;7.61E-05;0.000435487
Truck (Wall);Classification;DS0200;S7;0.00425;1.00E-04;0.010100327;0.022988506;-1.638489257;1.00E-08;0.000102017
Unknown;Classification;DS0200;S7;0.398;0.191925;0.285857764;0.931335679;-0.030893759;0.036835206;0.081714661
Anal Swab;Truck;DS0200;S7;0.001125;0.000175;0.073428917;0.184210526;-0.734685557;3.06E-08;0.005391806
Classification (Gloves);Truck;DS0200;S7;0.03125;0.000275;0.003805074;0.008723236;-2.059322401;7.56E-08;1.45E-05
Classification (Railing);Truck;DS0200;S7;0.08275;0.115825;0.380156569;0.583280876;-0.234122262;0.013415431;0.144519017
Cooling chamber (Wall_A);Truck;DS0200;S7;0.00425;0.00295;0.514445578;2.269230769;0.355878664;8.70E-06;0.264654252
Evisceration (Aprons);Truck;DS0200;S7;0.019;0.001525;0.036336417;0.087267525;-1.059147341;2.33E-06;0.001320335
Evisceration (Gloves);Truck;DS0200;S7;0.01825;0.01105;0.403930372;1.534722222;0.186029782;0.000122103;0.163159746
Evisceration (Knifes);Truck;DS0200;S7;0.008875;0.004675;0.324919071;1.113095238;0.046532325;2.19E-05;0.105572403
Lock (Hands_A);Truck;DS0200;S7;0.005;0.000625;0.051152522;0.111111111;-0.954242509;3.91E-07;0.002616581
Lock (Shoes_A);Truck;DS0200;S7;0.01125;0.00565;0.302964495;1.008928571;0.003860421;3.19E-05;0.091787485
Polishing tunnel (Nozzles);Truck;DS0200;S7;0.022375;0.00745;0.175848704;0.499162479;-0.301758067;5.55E-05;0.030922767
