Position;;all;200_01;200_02;200_03;200_04;200_05;200_06;200_07;200_08;200_09;200_10;mean200;stabw200;500_01;500_02;500_03;mean500;stabw500;1000_01;1000_02;1000_03;mean1000;stabw1000;5000_01;5000_02;5000_03;mean5000;stabw5000;7712_01;7712_02;7712_03;mean7712;stabw7712
Polishing tunnel (Water);Singeing;0.3978;0.258375;0.19225;0.248875;0.223875;0.22275;0.239;0.23175;0.23925;0.22875;0.24025;0.2325125;0.017918551;0.3256;0.3147;0.31505;0.31845;0.006194554;0.389275;0.358675;0.38105;0.376333333;0.015835884;0.384825;0.375;0.354725;0.371516667;0.015349355;0.368125;0.37765;0.3963;0.380691667;0.014331659
Polishing tunnel (Whips);Singeing;0.020075;0.021;0.030125;0.02225;0.017375;0.02525;0.024375;0.015625;0.020125;0.018;0.023125;0.021725;0.004286121;0.02115;0.0161;0.0165;0.017916667;0.002807282;0.01615;0.02005;0.0212;0.019133333;0.002646853;0.01945;0.0215;0.0158;0.018916667;0.002887184;0.019575;0.026425;0.018825;0.021608333;0.004188178
Splitting saw;Singeing;0.006975;0.00825;0.013875;0.014375;0.010875;0.006125;0.009375;0.01375;0.014125;0.01125;0.01475;0.011675;0.002991423;0.01065;0.00565;0.00605;0.00745;0.002778489;0.007225;0.00465;0.0048;0.005558333;0.001445323;0.007325;0.006375;0.00625;0.00665;0.000587899;0.00695;0.006725;0.006975;0.006883333;0.000137689
Sticking;Singeing;0.008275;0.00575;0.008875;0.009;0.0045;0.006;0.0115;0.005375;0.007625;0.004625;0.007375;0.0070625;0.002244786;0.00835;0.0098;0.00925;0.009133333;0.000732006;0.00775;0.00665;0.006;0.0068;0.00088459;0.010425;0.0133;0.0078;0.010508333;0.002750947;0.0087;0.0075;0.008375;0.008191667;0.000620652
Truck (Gloves);Singeing;0.056225;0.044625;0.061;0.0515;0.041625;0.04625;0.046;0.058875;0.05325;0.041;0.075625;0.051975;0.01075126;0.049;0.0507;0.05265;0.050783333;0.001826426;0.056425;0.052;0.0668;0.058408333;0.007596724;0.078825;0.059675;0.0672;0.068566667;0.009647873;0.073525;0.05285;0.059125;0.061833333;0.010600246
Truck (Wall);Singeing;0.0041;0.007;0.00725;0.007125;0.0075;0.002875;0.0095;0.00675;0.008;0.01075;0.005375;0.0072125;0.002131974;0.00625;0.00525;0.0054;0.005633333;0.00053929;0.0035;0.002975;0.0043;0.003591667;0.000667239;0.00425;0.004625;0.00695;0.005275;0.00146266;0.00585;0.0045;0.0043;0.004883333;0.000843109
Unknown;Singeing;0.35;0.498125;0.5445;0.4735;0.588;0.501;0.523125;0.518125;0.518125;0.524875;0.473875;0.516325;0.033762302;0.44385;0.4486;0.45085;0.447766667;0.00357363;0.392825;0.40825;0.382375;0.394483333;0.013016968;0.35645;0.3747;0.3818;0.370983333;0.013077302;0.362525;0.35745;0.360725;0.360233333;0.002572977
Anal Swab;Polishing;0.002575;0.00275;0.000625;0.004;0.00175;0.001375;0.000625;0.003625;0.001625;0.001;0.000875;0.001825;0.001226445;0.0009;0.0015;0.00165;0.00135;0.000396863;0.001075;0.001875;0.00225;0.001733333;0.000600174;0.00275;0.002625;0.0018;0.002391667;0.000516196;0.00175;0.0026;0.002325;0.002225;0.000433734
Classification (Gloves);Polishing;0.0251;0.028875;0.038375;0.046375;0.061875;0.038375;0.052375;0.044;0.038125;0.038;0.053625;0.044;0.009721111;0.0355;0.03205;0.0319;0.03315;0.002036541;0.0315;0.031;0.024475;0.028991667;0.003919529;0.02135;0.034025;0.034675;0.030016667;0.007512587;0.02835;0.028075;0.0286;0.028341667;0.000262599
Classification (Railing);Polishing;0.2224;0.164625;0.096625;0.12375;0.082;0.14125;0.108875;0.110375;0.1215;0.1265;0.114625;0.1190125;0.022918822;0.14465;0.18075;0.1823;0.169233333;0.021303892;0.204775;0.1849;0.17005;0.186575;0.017422991;0.1957;0.21425;0.1716;0.19385;0.0213851;0.216525;0.206875;0.19705;0.206816667;0.009737631
